Country,Land area (km²),Government type,"Birth rate (per 1,000 population)",Unemployment rate (%),Literacy rate (%),CO₂ emissions (Mt),CO₂ emissions (Mt) (log scale),GDP (USD billions),GDP (USD billions) (log scale),GDP per capita (USD),"Infant mortality rate (per 1,000 live births)",Median age (years),Total fertility rate (children/woman),GDP growth rate (%),Government debt (% of GDP),Carbon intensity (t/USD),Carbon intensity (t/USD) (log scale),CO₂ per capita (t/person),CO₂ per capita (t/person) (log scale),Population density (people/km²),Trade openness (% of GDP),Internet users (%)
"MICRONESIA, FEDERATED STATES OF",702.0,Republic,18.12,16.2,,177000.0,5.247973266361809,328.0,2.515873843713003,3300.0,21.37,26.3,2.22,-3.19,25.4,0.5396341463414634,-0.26790057654507815,1764371.6544223926,6.246590071988468,142.9045584045584,92.98780487804879,43.86008632462445
MOLDOVA,32891.0,Republic,9.94,3.96,99.6,8.0,0.9030899870462304,11.98,1.0784568180895442,14000.0,11.38,37.7,1.59,13.94,33.01,0.000667779632721202,-3.1753661807058506,2.4611355925737697,0.3911355413414322,98.82739959259372,101.1686143572621,58.17509256946247
MONACO,2.0,Monarchy,6.61,2.0,,,,6.01,0.7788744720750015,115700.0,1.75,55.4,1.53,21.55,,,,,,15798.5,16072.71214642263,100.70576320536759
MONGOLIA,1553556.0,Republic,15.37,7.08,99.2,22.0,1.3424226808419468,11.14,1.0468851908766952,11700.0,19.77,29.8,1.89,1.64,73.94,0.0019748653500897668,-2.704462290104641,6.757860928136907,0.8298092501305175,2.09549446560021,163.4649910233393,85.14904769452502
MONTENEGRO,13452.0,Republic,11.04,18.49,99.0,2.0,0.30102999588112844,5.49,0.7395723445291984,20600.0,3.2,39.6,1.81,12.43,67.2,0.00036429872495446266,-3.438541156649469,3.3198051274390195,0.5211125914969607,44.78479036574487,111.83970856102003,85.75056644174987
MOROCCO,716300.0,Monarchy,17.1,11.47,75.9,60.0,1.7781512503908818,118.86,2.0750357259258445,8100.0,18.73,29.1,2.27,7.93,65.1,0.0005047955577990914,-3.296883615202109,1.6186721384979046,0.20915889172669172,51.74845735027223,90.13124684502776,87.83994138248629
MOZAMBIQUE,786380.0,Republic,36.94,3.98,63.4,7.0,0.8450980400762989,14.96,1.174931593557473,1200.0,59.77,17.0,4.74,2.36,102.88,0.0004679144385026738,-3.329832625365896,0.21529316547232782,-0.6669697547118529,41.34617487728579,112.23262032085562,16.731354573849476
NAMIBIA,823290.0,,25.3,,91.5,,,,,,31.4,22.5,3.29,,,,,,,3.3128168689040316,,
NAURU,21.0,Republic,20.71,23.0,,66000.0,4.819543935541875,114.0,2.056904851340282,11900.0,7.72,27.0,2.58,1.5,62.0,0.5789473684210527,-0.23736091504445891,6699147.381242387,6.826019532374803,469.14285714285717,246.66666666666669,110.84043848964677
NEPAL,143351.0,Republic,17.26,5.05,71.2,7.0,0.8450980400762989,24.88,1.3958503760362366,3800.0,24.55,25.3,1.88,4.25,39.05,0.0002813504823151125,-3.550750792400614,0.22654130043703377,-0.6448526088784091,215.55094139559543,78.41639871382637,50.48634695453895
NETHERLANDS,33893.0,Monarchy,10.98,4.01,,214.0,2.33041377335122,907.04,2.9576264396473735,56600.0,3.34,42.8,1.77,4.86,56.5,0.00023593226318574704,-3.627210825542501,12.253828319284377,1.0882717914459556,515.2665742188652,173.67481037219972,94.82401154837427
NEW ZEALAND,264537.0,,12.0,,99.0,,,,,,3.6,37.2,1.9,,,,,,,19.744307979602098,,
NICARAGUA,119990.0,Republic,16.3,5.96,82.6,4.0,0.602059991436536,12.57,1.0993352777205079,5600.0,18.63,27.3,1.78,10.34,33.3,0.00031821797931583137,-3.4972739215897732,0.6289615734354306,-0.20137588638368492,53.00182515209601,118.77486077963404,61.84264670803871
NIGER,1266700.0,Republic,46.86,0.75,37.3,2.0,0.30102999588112844,12.93,1.1115985249139821,1200.0,65.53,14.8,6.73,1.39,45.3,0.00015467904098994585,-3.810565721511792,0.07874995471877604,-1.1037496817427637,20.04960922080998,37.741686001546796,21.65623754766341
NIGERIA,910768.0,Republic,34.0,9.79,62.0,104.0,2.0170333393029565,475.06,2.6767484644116863,4900.0,55.17,18.6,4.57,3.65,21.8,0.00021891971540436998,-3.659713141309579,0.4505231511652935,-0.3462828859296029,253.4594353336964,24.62215299120111,50.03406149960712
NORTH MACEDONIA,25433.0,Republic,10.33,16.2,98.4,7.0,0.8450980400762989,12.7,1.1038037209901532,16500.0,7.16,39.0,1.52,3.96,39.3,0.0005511811023622047,-3.258704893008144,3.28113208431572,0.5160237137048898,83.88353713679078,161.49606299212599,81.70018889946142
NORWAY,304282.0,Monarchy,11.89,4.99,,36.0,1.556302500779351,405.69,2.608194302755079,67500.0,2.28,39.5,1.83,3.3,36.5,8.873770613029653e-05,-4.051886907877398,6.43095547563704,0.8082755028469905,18.397157899579994,83.68705168971383,95.49968881321004
OMAN,309500.0,Monarchy,21.62,3.12,95.7,76.0,1.8808135922865057,76.88,1.8858133746661379,34300.0,14.16,26.2,2.67,3.09,46.9,0.0009885535900104059,-3.0049993430567676,19.825405996924452,1.2972220898535918,12.38599353796446,107.72632674297607,112.69178145620215
PAKISTAN,770875.0,Republic,26.01,4.35,58.0,193.0,2.285557309010024,253.18,2.4034293955306794,5200.0,52.73,22.0,3.39,6.49,67.0,0.0007623034994865313,-3.1178715168082296,0.7793144867928827,-0.10828724996379646,321.2629168153073,44.221502488348214,19.503051664298567
PALAU,459.0,Republic,11.57,1.7,96.6,,,292.0,2.4653828514499057,13800.0,11.04,33.9,1.7,-13.33,86.13,,,,,47.44880174291939,65.90753424657534,30.745213278846595
PANAMA,74340.0,Republic,17.71,12.09,95.7,25.0,1.3979400086894094,66.8,1.824776462482047,29000.0,15.28,30.1,2.37,15.34,37.8,0.00037425149700598805,-3.426835293370305,5.676518377841779,0.7540820483060195,59.24277643260694,77.6497005988024,67.9365719460104
PAPUA NEW GUINEA,452860.0,Democracy,28.54,2.75,64.2,6.0,0.7781512504560261,19.82,1.2971036501711684,3700.0,32.81,24.0,3.85,0.3,48.68,0.0003027245206861756,-3.5189509651486524,0.6110384088559834,-0.21393148916136756,21.682970454445083,76.94248234106963,32.26282798759592
PARAGUAY,397302.0,Republic,16.15,7.21,94.5,7.0,0.8450980400762989,38.94,1.5903959471951656,13700.0,22.6,29.7,1.88,4.1,19.5,0.000179763739085773,-3.7452954912584913,0.9408775403525576,-0.026466897907157283,18.725964128043653,70.87827426810478,69.34267472398349
PERU,1279996.0,Republic,16.96,4.83,94.5,54.0,1.732393759831011,230.71,2.3630664191900603,12500.0,10.8,29.1,2.18,13.35,34.67,0.00023406007541935763,-3.6306708038863187,1.664602764744897,0.2213106118797419,25.34396357488617,54.05487408434831,74.41390877952189
PHILIPPINES,298170.0,,23.69,2.41,96.3,142.0,2.1522883443861147,377.2,2.576571684066442,8100.0,21.45,25.7,2.95,5.7,39.9,0.000376458112407211,-3.4242821860508315,1.3023300160572706,0.11472105061142235,365.6818023275313,56.81336161187699,53.46890136347808
POLAND,304255.0,Republic,8.31,3.37,99.8,304.0,2.4828735836101825,595.72,2.7750421808345602,34900.0,4.1,41.9,1.41,6.85,50.6,0.0005103068555697307,-3.2921677461801853,8.001733849381996,0.9031841020001463,124.86817307850323,133.00208151480558,85.01841951753441
PORTUGAL,91470.0,Republic,7.99,6.65,95.9,50.0,1.6989700043447047,237.7,2.3760291817300074,33700.0,2.47,44.6,1.44,5.48,125.7,0.00021034917963819942,-3.6770571127613074,4.890860449078806,0.6893852713624105,111.76505958237674,91.73748422381152,80.21010158317152
QATAR,11586.0,Monarchy,9.27,0.26,93.5,111.0,2.04532297879057,191.29,2.2816922671632076,92900.0,6.46,33.7,1.9,1.59,53.8,0.0005802707930367504,-3.2363685399408055,43.83706198481579,1.6418414394976328,218.54859312963922,87.1713105755659,106.63069131441678
ROMANIA,229891.0,Republic,8.63,5.17,98.9,68.0,1.832508912712623,249.54,2.3971401707503177,30800.0,5.65,42.5,1.63,5.1,57.11,0.0002725014025807486,-3.564629664312328,3.710508930676616,0.5694334813293856,79.71746175361366,99.35882022922176,87.08782725529235
RUSSIA,16377742.0,Other,9.22,5.01,99.7,1985000000.0,9.297760511099133,1702361000000.0,12.231051661320542,28000.0,6.33,40.3,1.6,4.75,23.05,1.1660276521842312e-06,-5.932918853424427,14008575.068703946,7.146393961747472,8.65192057610872,5.4628836069435334e-08,93.15525990271641
RWANDA,24668.0,Republic,25.7,1.61,75.9,1.0,4.3429451761979113e-10,9.14,0.9609461957813472,2200.0,25.64,19.7,3.23,10.88,40.5,0.00010940919037199125,-3.9609422263007694,0.07462385287280565,-1.1271223260205447,543.2358115777525,65.31728665207876,29.103302620394206
SAINT KITTS AND NEVIS,261.0,Democracy,12.1,4.5,,268000.0,5.42813479402879,964.0,2.984077033903281,26500.0,8.2,38.1,1.76,-0.88,62.9,0.27800829875518673,-0.5559422383118783,4888994.29009249,6.689219530047069,210.02681992337165,88.1390041493776,69.17562070160716
SAINT LUCIA,606.0,Democracy,11.7,16.91,,659000.0,5.8188854145940105,1.69,0.22788670487065252,13000.0,11.8,39.0,1.72,12.23,70.7,389.9408284023669,2.59099870998145,3932192.0628196024,6.594634722228671,276.55280528052805,102792.89940828402,83.77538173290928
SAINT VINCENT AND THE GRENADINES,389.0,Democracy,12.1,21.62,,202000.0,5.305351369446626,785.0,2.8948696567458057,13700.0,12.6,37.0,1.74,1.35,73.8,0.2573248407643312,-0.5895182856109001,2003888.7345740248,6.301873603771039,259.1362467866324,68.98216560509553,84.32205071227332
SAMOA,2821.0,Republic,19.0,9.84,99.1,355000.0,5.550228353055095,841.0,2.9247959957984286,5500.0,17.8,26.9,2.37,-7.08,49.1,0.4221165279429251,-0.37456764171396834,1710835.1285054048,6.233208159026571,73.55583126550869,62.75624256837098,82.69839663423309
SAN MARINO,61.0,Republic,8.9,8.1,99.9,,,1.64,0.21484384831251158,56400.0,6.4,45.9,1.53,-6.65,98.35,,,,,572.0,389.0243902439025,73.08265504986817
SAO TOME AND PRINCIPE,964.0,Republic,27.4,15.91,94.8,173000.0,5.238046103128798,0.0,-9.0,4100.0,43.5,20.4,3.44,1.88,88.4,,,785036.2114969234,5.894889689981662,228.60165975103735,,50.913909208066364
